"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","change"
"RPL31P17",5.6032142701505,-6.83271248994139e-06,0.381581345483953,-2.45638566105,0.0140342454428778,0.295304666358138,"Stable"
"TRAV8-6",3.79133887876213,-1.91957230851568e-06,0.601142763485126,-1.06929790750515,0.284935453203985,0.824656826184736,"Stable"
"BX323046.2",5.40133045706072,-8.76331202974131e-07,0.333565779071566,-0.284376270859991,0.776122041764086,0.967968295112584,"Stable"
"UGT2A1",2.86317179078042,-1.76619075652652e-06,1.28139891658368,-2.50566014612996,0.0122223035134841,NA,"Stable"
"BX322559.1",1.30997332528186,-1.03471978793664e-07,2.44913352877676,0.998792335369483,0.31789529973721,NA,"Stable"
"GUSBP5",5.00682442377974,-1.40885816665561e-06,0.645713390548121,-0.850419294759947,0.395092012576275,0.870393432894477,"Stable"
"VN1R83P",6.06893684656909,2.38480235985528e-06,0.690311022824642,1.74261672571583,0.0814005864448012,0.587060719440846,"Stable"
"TRPM5",4.95667564143307,1.93491511391738e-06,0.80784549218785,1.70258078661952,0.0886465481947325,0.605158067444961,"Stable"
"ADAMTS20",2.34572554764076,3.71814256445718e-07,1.05748010776942,0.978497791543683,0.327828183070395,NA,"Stable"
"AC069120.1",2.01554559120603,-2.54724379592929e-07,1.37183351084396,-1.00225290375248,0.316221462495992,NA,"Stable"
"PPDPFL",2.12883608956132,4.16226871310691e-07,2.47842991394101,1.44655928711147,0.148020395840153,NA,"Stable"
"DUX4L50",4.56687232297171,-2.69883425888393e-06,0.470053729728618,-1.18115657182992,0.237540529799205,0.789110351824292,"Stable"
"AC010333.1",6.52779330413165,1.32308980299701e-06,1.1122634042848,1.80497513729046,0.0710785727275146,0.561005298216588,"Stable"
"AC106865.1",4.2155187479094,-1.39548244770681,0.686861372164717,-2.97253217818341,0.00295354248773296,0.155714945690439,"Stable"
"AC090739.1",4.32942092368862,1.55100174832076e-06,0.564298072917631,0.845270551654554,0.397959799018143,0.871423822768097,"Stable"
"AC131097.1",3.51332885485568,-1.66942954880612e-06,0.904432951276355,-1.38223157223629,0.166900608844734,0.730372296614949,"Stable"
"RNU6-850P",4.93597772714755,3.84897066644411e-08,0.593412846194849,0.0197458213529204,0.984246137740601,0.998440579039769,"Stable"
"U91328.3",4.95586176968719,2.03341726889452e-07,0.508934687308036,0.0986780713721314,0.921393880383408,0.988653248961105,"Stable"
"LINC02685",5.10879727721605,-2.01795548451174e-07,0.574412307863663,-0.110638645914107,0.911902900591158,0.986860635910631,"Stable"
"AC024884.2",6.02936710969652,-1.97958106666588e-06,0.493230787617233,-0.938397083355781,0.348040384273848,0.857089047748505,"Stable"
"TRPM2-AS",7.2543832712445,2.14601236510787e-06,0.84289079465826,1.35650424278832,0.17493878634728,0.741189434599546,"Stable"
"AC009268.2",6.46038196617524,-6.88882014161907e-07,0.371547615881123,-0.251137812976062,0.801707561957561,0.973263593458186,"Stable"
